gene	coverage	normalized_coverage	baseline_mean	baseline_std	baseline_mad
10076010-10076029	29.4181	0.1557	0.1557	0.0664	0.0517
102193510-102193534	14.9226	0.0737	0.0737	0.0294	0.0205
108114663-108114676	85.2529	0.2867	0.2867	0.1517	0.1091
108121412-108121425	7.2041	0.0524	0.0524	0.0164	0.0131
108141957-108141970	18.4898	0.1208	0.1208	0.0240	0.0183
108188268-108188279	163.5201	0.6893	0.6893	0.1020	0.0749
108195978-108195995	25.2190	0.1020	0.1020	0.0632	0.0525
112893677-112893692	16.9301	0.1096	0.1096	0.0423	0.0372
116381123-116381137	8.3746	0.0539	0.0539	0.0156	0.0114
116409677-116409690	192.3403	0.6916	0.6916	0.1547	0.1182
119144793-119144808	60.6076	0.2904	0.2904	0.0774	0.0656
120053342-120053377	2.9903	0.0174	0.0174	0.0096	0.0088
12025429-12025450	8.9267	0.0511	0.0511	0.0252	0.0158
125490767-125490786	90.4678	0.3312	0.3312	0.1151	0.0979
133237755-133237767	108.6472	0.3920	0.3920	0.1465	0.1088
141754890-141754904	149.5094	0.5574	0.5574	0.1162	0.0889
151875101-151875126	9.2637	0.0566	0.0566	0.0225	0.0173
161332093-161332105	119.7082	0.4453	0.4453	0.1536	0.1108
162683815-162683834	8.5691	0.0465	0.0465	0.0209	0.0142
162736823-162736832	11.4600	0.0730	0.0730	0.0347	0.0285
225422602-225422622	3.9035	0.0280	0.0280	0.0199	0.0143
23652348-23652367	10.7000	0.0696	0.0696	0.0312	0.0246
29559063-29559087	17.1210	0.0929	0.0929	0.0368	0.0308
32905221-32905231	126.7620	0.4904	0.4904	0.0776	0.0621
32907537-32907546	297.5023	1.0287	1.0287	0.0712	0.0538
37067105-37067124,NM_000249	292.4941	1.1216	1.1216	0.0783	0.0620
39536691-39536717	12.0304	0.0674	0.0674	0.0182	0.0138
432377-432404	6.6821	0.0393	0.0393	0.0165	0.0131
43595838-43595850	29.5966	0.1624	0.1624	0.0377	0.0311
45395847-45395863	52.7835	0.2397	0.2397	0.0891	0.0563
47635525-47635536,NM_000251	278.8581	1.0814	1.0814	0.1795	0.0986
47641561-47641586	187.3084	0.7184	0.7184	0.0706	0.0401
48032742-48032753,NM_000179	245.5532	0.9913	0.9913	0.0616	0.0551
48033892-48033908	32.6026	0.1856	0.1856	0.0562	0.0394
48584857-48584871	70.2500	0.2877	0.2877	0.1154	0.0901
48954161-48954172	53.3784	0.1813	0.1813	0.0925	0.0718
51503599-51503615	34.6975	0.1944	0.1944	0.0487	0.0350
55598213-55598236	8.2859	0.0567	0.0567	0.0152	0.0116
6037059-6037074	254.3684	1.0051	1.0051	0.2749	0.2052
68944345-68944357	5.4991	0.0321	0.0321	0.0136	0.0105
69988439-69988451	21.0360	0.1034	0.1034	0.0515	0.0290
91303327-91303337	137.9821	0.4920	0.4920	0.1429	0.1145
95849363-95849384	49.0155	0.2402	0.2402	0.0618	0.0477
ERBB3|NM_001982|exon|10|CDS	163.6815	0.6706	0.6706	0.0839	0.0567
ERBB3|NM_001982|exon|11|CDS	212.1578	0.8145	0.8145	0.0940	0.0785
ERBB3|NM_001982|exon|12|CDS	372.6848	1.2933	1.2933	0.0500	0.0393
ERBB3|NM_001982|exon|13|CDS	236.6244	0.8776	0.8776	0.0508	0.0450
ERBB3|NM_001982|exon|14|CDS	119.7411	0.5108	0.5108	0.0543	0.0359
ERBB3|NM_001982|exon|15|CDS	249.3596	0.9630	0.9630	0.0793	0.0625
ERBB3|NM_001982|exon|16|CDS	85.9894	0.4042	0.4042	0.0663	0.0505
ERBB3|NM_001982|exon|17|CDS	311.2594	1.2138	1.2138	0.0610	0.0405
