bin_info	binsize	mean_coverage	normalized_coverage	baseline_mean	baseline_std	baseline_mad
chr1:2488078-2488197:TNFRSF14	120	295.2944	0.5868	0.5868	0.0521	0.0382
chr1:2489159-2489278:TNFRSF14	120	277.8339	0.5333	0.5333	0.0697	0.0566
chr1:2489725-2489964:TNFRSF14	240	433.6453	0.8365	0.8365	0.0390	0.0279
chr1:2490280-2491459:TNFRSF14	1180	532.1967	1.0424	1.0424	0.0557	0.0435
chr1:2492049-2492168:TNFRSF14	120	238.4270	0.4425	0.4425	0.0617	0.0369
chr1:2492914-2493273:TNFRSF14	360	515.9924	0.9767	0.9767	0.0338	0.0277
chr1:2494247-2494365:TNFRSF14	119	266.8503	0.5057	0.5057	0.0835	0.0716
chr1:2494530-2494769:TNFRSF14	240	433.2478	0.8427	0.8427	0.0371	0.0288
chr1:8073263-8074462:ERRFI1	1200	647.6399	1.2822	1.2822	0.0253	0.0189
chr1:8075355-8075474:ERRFI1	120	366.2641	0.7244	0.7244	0.0368	0.0295
chr1:8075498-8075737:ERRFI1	240	442.7299	0.8796	0.8796	0.0427	0.0279
chr1:9770464-9770703:PIK3CD	240	453.0218	0.8958	0.8958	0.0652	0.0531
chr1:9775593-9775832:PIK3CD	240	465.5953	0.9010	0.9010	0.0565	0.0480
chr1:9775902-9776141:PIK3CD	240	474.1606	0.9116	0.9116	0.0395	0.0327
chr1:9776468-9776707:PIK3CD	240	403.0501	0.7960	0.7960	0.0598	0.0510
chr1:9776972-9777211:PIK3CD	240	355.5459	0.7076	0.7076	0.0567	0.0413
chr1:9777580-9777699:PIK3CD	120	396.7539	0.7813	0.7813	0.0607	0.0485
chr1:9778743-9778982:PIK3CD	240	494.9225	0.9610	0.9610	0.0516	0.0336
chr1:9779967-9780086:PIK3CD	120	394.8628	0.7788	0.7788	0.0671	0.0451
chr1:9780116-9780355:PIK3CD	240	448.0169	0.8815	0.8815	0.0775	0.0677
chr1:9780560-9781003:PIK3CD	444	324.8023	0.6348	0.6348	0.0427	0.0241
chr1:9781151-9781390:PIK3CD	240	447.2127	0.8599	0.8599	0.0336	0.0255
chr1:9781454-9781693:PIK3CD	240	553.1486	1.0584	1.0584	0.0427	0.0349
chr1:9781809-9781928:PIK3CD	120	306.0575	0.5815	0.5815	0.0219	0.0192
chr1:9782003-9782242:PIK3CD	240	473.5799	0.9329	0.9329	0.0556	0.0398
chr1:9782298-9782417:PIK3CD	120	343.3804	0.6757	0.6757	0.0753	0.0627
chr1:9782566-9782685:PIK3CD	120	295.7983	0.5751	0.5751	0.0288	0.0247
chr1:9783147-9783386:PIK3CD	240	449.0235	0.8784	0.8784	0.0487	0.0407
chr1:9784002-9784241:PIK3CD	240	515.6739	1.0132	1.0132	0.0567	0.0415
chr1:9784287-9784526:PIK3CD	240	522.8308	1.0353	1.0353	0.0661	0.0557
chr1:9784808-9785047:PIK3CD	240	480.1024	0.9457	0.9457	0.0805	0.0568
chr1:9786916-9787155:PIK3CD	240	465.8087	0.9315	0.9315	0.0511	0.0377
chr1:11166630-11167589:MTOR	960	612.5185	1.1983	1.1983	0.0176	0.0136
chr1:11168231-11168350:MTOR	120	335.3117	0.6654	0.6654	0.0334	0.0276
chr1:11169328-11169447:MTOR	120	317.1062	0.6189	0.6189	0.0309	0.0233
chr1:11169687-11169806:MTOR	120	389.2608	0.7662	0.7662	0.0351	0.0228
chr1:11172882-11173001:MTOR	120	357.3242	0.7120	0.7120	0.0343	0.0258
chr1:11174330-11174568:MTOR	239	474.1021	0.9417	0.9417	0.0352	0.0272
chr1:11174847-11174966:MTOR	120	368.6872	0.7257	0.7257	0.0327	0.0235
chr1:11175430-11175549:MTOR	120	359.8421	0.7087	0.7087	0.0354	0.0308
chr1:11177042-11177161:MTOR	120	257.0511	0.4872	0.4872	0.0476	0.0420
chr1:11181244-11181483:MTOR	240	468.9910	0.9278	0.9278	0.0460	0.0391
chr1:11181990-11182229:MTOR	240	436.4868	0.8652	0.8652	0.0305	0.0200
chr1:11184503-11184742:MTOR	240	590.0635	1.1611	1.1611	0.0427	0.0316
chr1:11186646-11186885:MTOR	240	532.4679	1.0439	1.0439	0.0294	0.0232
chr1:11187014-11187253:MTOR	240	432.9935	0.8480	0.8480	0.0285	0.0204
chr1:11187652-11187891:MTOR	240	548.7718	1.0768	1.0768	0.0363	0.0277
chr1:11188002-11188241:MTOR	240	498.7351	0.9903	0.9903	0.0327	0.0245
chr1:11188500-11188619:MTOR	120	395.2704	0.7793	0.7793	0.0370	0.0290
chr1:11188901-11189020:MTOR	120	360.8108	0.7049	0.7049	0.0290	0.0246
chr1:11189786-11189905:MTOR	120	394.5687	0.7672	0.7672	0.0286	0.0251
chr1:11190531-11190890:MTOR	360	626.4716	1.2343	1.2343	0.0271	0.0207
chr1:11193136-11193255:MTOR	120	340.6022	0.6694	0.6694	0.0388	0.0271
chr1:11194406-11194525:MTOR	120	436.6023	0.8670	0.8670	0.0244	0.0191
chr1:11199307-11199770:MTOR	464	565.6662	1.1198	1.1198	0.0364	0.0286
chr1:11204699-11204818:MTOR	120	464.9298	0.9128	0.9128	0.0265	0.0180
chr1:11205004-11205123:MTOR	120	329.7460	0.6530	0.6530	0.0249	0.0140
chr1:11206731-11206850:MTOR	120	242.8379	0.4508	0.4508	0.0312	0.0278
chr1:11210174-11210293:MTOR	120	465.7882	0.9178	0.9178	0.0409	0.0288
chr1:11217159-11217398:MTOR	240	385.6274	0.7565	0.7565	0.0202	0.0131
chr1:11227477-11227596:MTOR	120	366.4478	0.7241	0.7241	0.0357	0.0246
chr1:11259268-11259507:MTOR	240	597.3808	1.1860	1.1860	0.0559	0.0453
chr1:11259559-11259798:MTOR	240	727.9205	1.3579	1.3579	0.0446	0.0352
chr1:11264569-11264808:MTOR	240	543.5310	1.0771	1.0771	0.0446	0.0351
chr1:11269322-11269561:MTOR	240	498.6161	0.9827	0.9827	0.0330	0.0243
chr1:11270858-11270977:MTOR	120	260.8866	0.4993	0.4993	0.0493	0.0445
chr1:11272330-11272569:MTOR	240	505.1687	1.0100	1.0100	0.0359	0.0259
chr1:11272850-11272969:MTOR	120	451.2952	0.8871	0.8871	0.0525	0.0369
chr1:11273420-11273659:MTOR	240	411.3614	0.8234	0.8234	0.0383	0.0274
chr1:11276188-11276307:MTOR	120	403.2218	0.7959	0.7959	0.0330	0.0275
chr1:11288670-11289029:MTOR	360	533.3345	1.0621	1.0621	0.0634	0.0528
chr1:11290927-11291166:MTOR	240	646.1441	1.2516	1.2516	0.0303	0.0246
chr1:11291304-11291543:MTOR	240	503.0325	1.0025	1.0025	0.0495	0.0395
chr1:11292480-11292599:MTOR	120	401.9944	0.7998	0.7998	0.0399	0.0257
chr1:11293440-11293559:MTOR	120	347.2391	0.6888	0.6888	0.0325	0.0197
chr1:11294141-11294380:MTOR	240	497.3728	0.9891	0.9891	0.0404	0.0288
chr1:11297883-11298122:MTOR	240	576.5358	1.1466	1.1466	0.0338	0.0268
chr1:11298447-11298686:MTOR	240	444.6412	0.8788	0.8788	0.0459	0.0361
chr1:11300303-11300662:MTOR	360	616.8530	1.2066	1.2066	0.0333	0.0250
chr1:11301555-11301794:MTOR	240	460.9394	0.9160	0.9160	0.0451	0.0306
chr1:11303144-11303383:MTOR	240	510.3190	0.9976	0.9976	0.0362	0.0307
chr1:11307677-11307796:MTOR	120	635.8226	1.2506	1.2506	0.0354	0.0217
chr1:11307834-11308193:MTOR	360	503.5621	1.0000	1.0000	0.0479	0.0403
chr1:11313843-11314082:MTOR	240	579.9443	1.1474	1.1474	0.0407	0.0311
chr1:11316030-11316269:MTOR	240	590.9849	1.1695	1.1695	0.0417	0.0338
chr1:11316291-11316410:MTOR	120	535.3291	1.0532	1.0532	0.0316	0.0212
chr1:11316987-11317226:MTOR	240	433.5478	0.8555	0.8555	0.0301	0.0200
chr1:11318537-11318656:MTOR	120	420.1033	0.8276	0.8276	0.0321	0.0251
