bin_info	binsize	mean_coverage	normalized_coverage	baseline_mean	baseline_std	baseline_mad
chr1:2488078-2488197:TNFRSF14	120	296.5325	0.5870	0.5867	0.0520	0.0337
chr1:2489159-2489278:TNFRSF14	120	278.9952	0.5549	0.5332	0.0695	0.0483
chr1:2489725-2489964:TNFRSF14	240	435.6069	0.8370	0.8359	0.0386	0.0275
chr1:2490280-2491459:TNFRSF14	1180	534.7824	1.0469	1.0422	0.0555	0.0390
chr1:2492049-2492168:TNFRSF14	120	239.0426	0.4256	0.4418	0.0617	0.0320
chr1:2492914-2493273:TNFRSF14	360	518.2316	0.9767	0.9776	0.0348	0.0325
chr1:2494247-2494365:TNFRSF14	119	267.5940	0.4914	0.5061	0.0837	0.0692
chr1:2494530-2494769:TNFRSF14	240	434.1255	0.8430	0.8425	0.0371	0.0291
chr1:8073263-8074462:ERRFI1	1200	650.1874	1.2903	1.2824	0.0254	0.0159
chr1:8075355-8075474:ERRFI1	120	367.3509	0.7186	0.7238	0.0362	0.0282
chr1:8075498-8075737:ERRFI1	240	447.5855	0.8848	0.8834	0.0390	0.0261
chr1:9770464-9770703:PIK3CD	240	455.0534	0.8971	0.8959	0.0655	0.0533
chr1:9775593-9775832:PIK3CD	240	467.4307	0.8991	0.9007	0.0566	0.0460
chr1:9775902-9776141:PIK3CD	240	476.2462	0.9081	0.9113	0.0396	0.0338
chr1:9776468-9776707:PIK3CD	240	404.4578	0.8079	0.7955	0.0592	0.0428
chr1:9776972-9777211:PIK3CD	240	356.7437	0.7146	0.7071	0.0562	0.0405
chr1:9777580-9777699:PIK3CD	120	396.3553	0.7954	0.7781	0.0631	0.0471
chr1:9778743-9778982:PIK3CD	240	496.8292	0.9721	0.9604	0.0524	0.0267
chr1:9779967-9780086:PIK3CD	120	396.3604	0.7841	0.7786	0.0669	0.0502
chr1:9780116-9780355:PIK3CD	240	450.0923	0.8928	0.8818	0.0779	0.0590
chr1:9780560-9781003:PIK3CD	444	325.7712	0.6320	0.6343	0.0428	0.0249
chr1:9781151-9781390:PIK3CD	240	448.8809	0.8569	0.8590	0.0337	0.0261
chr1:9781454-9781693:PIK3CD	240	555.6267	1.0604	1.0581	0.0423	0.0333
chr1:9781809-9781928:PIK3CD	120	307.3261	0.5784	0.5807	0.0212	0.0184
chr1:9782003-9782242:PIK3CD	240	481.0916	0.9328	0.9359	0.0581	0.0438
chr1:9782298-9782417:PIK3CD	120	344.5609	0.6833	0.6752	0.0746	0.0622
chr1:9782566-9782685:PIK3CD	120	296.2218	0.5704	0.5724	0.0271	0.0210
chr1:9783147-9783386:PIK3CD	240	450.5951	0.8780	0.8778	0.0487	0.0403
chr1:9784002-9784241:PIK3CD	240	517.9292	1.0142	1.0131	0.0566	0.0405
chr1:9784287-9784526:PIK3CD	240	524.8352	1.0401	1.0351	0.0661	0.0589
chr1:9784808-9785047:PIK3CD	240	482.1649	0.9548	0.9459	0.0808	0.0587
chr1:9786916-9787155:PIK3CD	240	467.6948	0.9274	0.9312	0.0507	0.0389
chr1:11166630-11167589:MTOR	960	614.2507	1.1974	1.1985	0.0176	0.0137
chr1:11168231-11168350:MTOR	120	336.3040	0.6705	0.6650	0.0338	0.0267
chr1:11169328-11169447:MTOR	120	317.8438	0.6217	0.6179	0.0303	0.0248
chr1:11169687-11169806:MTOR	120	390.8829	0.7610	0.7663	0.0351	0.0250
chr1:11172882-11173001:MTOR	120	358.7052	0.7154	0.7120	0.0343	0.0272
chr1:11174330-11174568:MTOR	239	476.0290	0.9464	0.9417	0.0352	0.0256
chr1:11174847-11174966:MTOR	120	369.7335	0.7253	0.7249	0.0327	0.0238
chr1:11175430-11175549:MTOR	120	360.9760	0.7045	0.7081	0.0351	0.0296
chr1:11177042-11177161:MTOR	120	258.2917	0.4735	0.4888	0.0488	0.0298
chr1:11181244-11181483:MTOR	240	470.8706	0.9335	0.9278	0.0460	0.0344
chr1:11181990-11182229:MTOR	240	437.3356	0.8617	0.8649	0.0303	0.0180
chr1:11184503-11184742:MTOR	240	590.8232	1.1629	1.1632	0.0411	0.0283
chr1:11186646-11186885:MTOR	240	534.5551	1.0458	1.0435	0.0294	0.0241
chr1:11187014-11187253:MTOR	240	433.8933	0.8440	0.8477	0.0285	0.0188
chr1:11187652-11187891:MTOR	240	550.9942	1.0808	1.0765	0.0362	0.0315
chr1:11188002-11188241:MTOR	240	500.7426	0.9894	0.9902	0.0326	0.0241
chr1:11188500-11188619:MTOR	120	396.4704	0.7852	0.7787	0.0372	0.0240
chr1:11188901-11189020:MTOR	120	362.1606	0.7066	0.7045	0.0286	0.0218
chr1:11189786-11189905:MTOR	120	396.4730	0.7698	0.7672	0.0290	0.0228
chr1:11190531-11190890:MTOR	360	629.7269	1.2345	1.2349	0.0264	0.0207
chr1:11193136-11193255:MTOR	120	339.1069	0.6682	0.6671	0.0405	0.0285
chr1:11194406-11194525:MTOR	120	438.0086	0.8751	0.8672	0.0245	0.0143
chr1:11199307-11199770:MTOR	464	568.1690	1.1242	1.1201	0.0366	0.0266
chr1:11204699-11204818:MTOR	120	464.7554	0.9182	0.9157	0.0287	0.0180
chr1:11205004-11205123:MTOR	120	330.4507	0.6531	0.6526	0.0244	0.0141
chr1:11206731-11206850:MTOR	120	243.1360	0.4465	0.4504	0.0312	0.0270
chr1:11210174-11210293:MTOR	120	467.7393	0.9148	0.9178	0.0408	0.0296
chr1:11217159-11217398:MTOR	240	387.1605	0.7545	0.7561	0.0203	0.0143
chr1:11227477-11227596:MTOR	120	367.0201	0.7230	0.7239	0.0356	0.0257
chr1:11259268-11259507:MTOR	240	599.5002	1.1827	1.1859	0.0559	0.0426
chr1:11259559-11259798:MTOR	240	730.9928	1.3557	1.3580	0.0448	0.0352
chr1:11264569-11264808:MTOR	240	545.7375	1.0747	1.0773	0.0450	0.0343
chr1:11269322-11269561:MTOR	240	500.6146	0.9831	0.9828	0.0330	0.0243
chr1:11270858-11270977:MTOR	120	261.6795	0.4840	0.4990	0.0495	0.0391
chr1:11272330-11272569:MTOR	240	507.3134	1.0157	1.0105	0.0355	0.0244
chr1:11272850-11272969:MTOR	120	452.9941	0.8907	0.8873	0.0530	0.0378
chr1:11273420-11273659:MTOR	240	412.6322	0.8260	0.8230	0.0384	0.0274
chr1:11276188-11276307:MTOR	120	404.9280	0.7965	0.7961	0.0344	0.0270
chr1:11288670-11289029:MTOR	360	535.2904	1.0550	1.0620	0.0637	0.0593
chr1:11290927-11291166:MTOR	240	648.6552	1.2508	1.2517	0.0302	0.0244
chr1:11291304-11291543:MTOR	240	505.2178	0.9961	1.0028	0.0498	0.0346
chr1:11292480-11292599:MTOR	120	402.9991	0.7975	0.7992	0.0408	0.0257
chr1:11293440-11293559:MTOR	120	348.0742	0.6865	0.6888	0.0325	0.0221
chr1:11294141-11294380:MTOR	240	499.4865	0.9810	0.9895	0.0408	0.0299
chr1:11297883-11298122:MTOR	240	579.1827	1.1408	1.1469	0.0337	0.0266
chr1:11298447-11298686:MTOR	240	446.3345	0.8804	0.8789	0.0458	0.0346
chr1:11300303-11300662:MTOR	360	619.5626	1.2068	1.2071	0.0340	0.0253
chr1:11301555-11301794:MTOR	240	462.9448	0.9186	0.9163	0.0453	0.0327
chr1:11303144-11303383:MTOR	240	512.3074	0.9917	0.9976	0.0365	0.0315
chr1:11307677-11307796:MTOR	120	633.9596	1.2466	1.2491	0.0304	0.0233
chr1:11307834-11308193:MTOR	360	505.4352	0.9992	0.9999	0.0478	0.0395
chr1:11313843-11314082:MTOR	240	582.1783	1.1378	1.1470	0.0403	0.0273
chr1:11316030-11316269:MTOR	240	593.2903	1.1730	1.1695	0.0418	0.0320
chr1:11316291-11316410:MTOR	120	536.2616	1.0511	1.0532	0.0316	0.0206
chr1:11316987-11317226:MTOR	240	435.2175	0.8573	0.8556	0.0299	0.0200
chr1:11318537-11318656:MTOR	120	423.8348	0.8253	0.8326	0.0374	0.0273
chr1:11319269-11319508:MTOR	240	539.1051	1.0611	1.0589	0.0485	0.0352
chr1:16174545-16174664:SPEN	120	256.6991	0.4673	0.4809	0.0661	0.0540
chr1:16199291-16200923:SPEN	1633	609.2059	1.1627	1.1643	0.0149	0.0109
chr1:16202695-16203174:SPEN	480	367.2249	0.7338	0.7266	0.0244	0.0210
chr1:16235776-16236015:SPEN	240	486.2623	0.9566	0.9595	0.0332	0.0276
chr1:16237576-16237815:SPEN	240	445.6144	0.8627	0.8703	0.0339	0.0273
chr1:16242579-16242818:SPEN	240	422.8186	0.8343	0.8292	0.0439	0.0344
chr1:16245364-16245603:SPEN	240	428.6957	0.8340	0.8438	0.0515	0.0447
chr1:16245896-16246015:SPEN	120	267.8683	0.5197	0.5152	0.0524	0.0425
chr1:16247362-16247481:SPEN	120	337.4103	0.6640	0.6608	0.0283	0.0238
chr1:16248734-16248853:SPEN	120	392.9697	0.7874	0.7798	0.0515	0.0454
chr1:16254560-16262478:SPEN	7919	574.8984	1.1141	1.1101	0.0232	0.0165
chr1:16262505-16262864:SPEN	360	358.4203	0.7114	0.7055	0.0283	0.0236
chr1:16263600-16264199:SPEN	600	536.8530	1.0445	1.0376	0.0349	0.0218
chr1:16264285-16264524:SPEN	240	307.2457	0.6068	0.6011	0.0312	0.0197
chr1:16265173-16265412:SPEN	240	484.4314	0.9550	0.9517	0.0348	0.0187
chr1:16265737-16265976:SPEN	240	434.2463	0.8392	0.8389	0.0378	0.0287
chr1:17345355-17345474:SDHB	120	347.5672	0.6887	0.6851	0.0400	0.0272
chr1:17349044-17349283:SDHB	240	520.2752	1.0234	1.0219	0.0428	0.0315
chr1:17350459-17350638:SDHB	180	440.9329	0.8837	0.8812	0.0220	0.0153
chr1:17354243-17354362:SDHB	120	365.5804	0.7220	0.7240	0.0318	0.0279
chr1:17355044-17355283:SDHB	240	508.2999	1.0000	0.9982	0.0322	0.0248
