gene	coverage	normalized_coverage	baseline_mean	baseline_std	baseline_mad
ABL1	618.0287	1.1783	1.1783	0.0385	0.0301
ABL2	570.8246	1.1123	1.1123	0.0369	0.0295
ACVR1	521.0169	1.0152	1.0152	0.0387	0.0300
ACVR1B	441.9038	0.8761	0.8761	0.0345	0.0276
AGO2	495.0290	0.9751	0.9751	0.0546	0.0410
AKT1	525.4362	0.9966	0.9966	0.0528	0.0381
AKT2	516.8802	1.0074	1.0074	0.0479	0.0357
AKT3	488.9542	0.9543	0.9543	0.0484	0.0365
ALK	584.6848	1.1271	1.1271	0.0374	0.0297
ALK,ALK.intron.18	668.5005	1.2637	1.2637	0.0196	0.0135
ALK,ALK.intron.18,ALK.intron.19	660.7643	1.2511	1.2511	0.0220	0.0172
ALOX12B	470.3390	0.9263	0.9263	0.0585	0.0456
AMER1	635.1855	1.2425	1.2425	0.0325	0.0271
ANKRD11	608.2162	1.1587	1.1587	0.0466	0.0344
APC	718.0036	1.3107	1.3107	0.0346	0.0277
AR	661.2030	1.2536	1.2536	0.0371	0.0281
ARAF	506.6810	0.9921	0.9921	0.0402	0.0308
ARFRP1	379.4553	0.7395	0.7395	0.0540	0.0421
ARID1A	601.9878	1.1519	1.1519	0.0422	0.0317
ARID1B	571.8219	1.1026	1.1026	0.0418	0.0327
ARID2	594.2783	1.1329	1.1329	0.0411	0.0315
ARID5B	687.4868	1.2702	1.2702	0.0305	0.0220
ASXL1	530.1800	1.0461	1.0461	0.0406	0.0329
ASXL2	569.9987	1.1239	1.1239	0.0333	0.0245
ATM	500.7747	0.9882	0.9882	0.0534	0.0420
ATR	533.1616	1.0306	1.0306	0.0492	0.0385
ATRX	550.3390	1.0452	1.0452	0.0439	0.0349
AURKA	600.0885	1.1547	1.1547	0.0485	0.0408
AURKB	490.0137	0.9558	0.9558	0.0426	0.0332
AXIN1	554.7668	1.0557	1.0557	0.0630	0.0497
AXIN2	575.4070	1.1245	1.1245	0.0388	0.0307
AXL	434.6165	0.8568	0.8568	0.0491	0.0395
B2M	521.3922	1.0269	1.0269	0.0418	0.0309
BABAM1	413.5329	0.8112	0.8112	0.0541	0.0406
BAP1	560.4307	1.0964	1.0964	0.0479	0.0373
BARD1	569.0038	1.0872	1.0872	0.0492	0.0373
BAT-25,KIT,KIT.intron.16	711.8895	1.3054	1.3054	0.0538	0.0463
BAT-26,MSH2,MSH2.intron.5	1057.4117	1.9563	1.9563	0.1520	0.1310
BAT-40	672.2034	1.2709	1.2709	0.0852	0.0676
BAT-RII,TGFBR2	980.0089	1.8153	1.8153	0.0977	0.0931
BBC3	380.4517	0.7451	0.7451	0.0532	0.0394
BCL10	645.2147	1.2016	1.2016	0.0379	0.0320
BCL2	705.2644	1.3130	1.3130	0.0305	0.0212
BCL2,BCL2.exon3.UTR	739.0079	1.3371	1.3371	0.0199	0.0145
BCL2L1	599.5586	1.1607	1.1607	0.0350	0.0269
BCL2L11	605.3316	1.1644	1.1644	0.0397	0.0311
BCL2L2	660.7348	1.2493	1.2493	0.0284	0.0245
BCL6	585.7290	1.1127	1.1127	0.0406	0.0306
BCOR	526.0749	1.0283	1.0283	0.0421	0.0330
BCORL1	674.2037	1.2567	1.2567	0.0366	0.0261
BCR.intron.13	564.2440	1.1105	1.1105	0.0566	0.0416
BCR.intron.14	608.1317	1.1881	1.1881	0.0489	0.0361
BCR.intron.8	605.6840	1.1936	1.1936	0.0525	0.0395
BIRC3	529.5242	1.0044	1.0044	0.0366	0.0292
BLM	564.5748	1.0983	1.0983	0.0415	0.0311
BMPR1A	542.2454	1.0509	1.0509	0.0456	0.0359
BRAF	653.5357	1.2144	1.2144	0.0416	0.0309
BRAF,BRAF.intron.10	645.5921	1.2522	1.2522	0.0550	0.0390
BRAF,BRAF.intron.10,BRAF.intron.9	649.5548	1.2482	1.2482	0.0343	0.0246
BRAF,BRAF.intron.7	694.8992	1.2616	1.2616	0.0321	0.0286
BRAF,BRAF.intron.7,BRAF.intron.8	680.0396	1.2822	1.2822	0.0362	0.0217
BRAF,BRAF.intron.8,BRAF.intron.9	629.0436	1.2344	1.2344	0.0574	0.0462
BRAF.intron.7	703.4202	1.3032	1.3032	0.0501	0.0353
BRAF.intron.8	635.8201	1.2494	1.2494	0.0286	0.0242
BRAF.intron.9	684.8752	1.2835	1.2835	0.0363	0.0224
BRCA1	639.8006	1.1767	1.1767	0.0239	0.0188
BRCA1,BRCA1.intron.12	715.1497	1.3255	1.3255	0.0413	0.0345
BRCA1,BRCA1.intron.16	654.8038	1.2495	1.2495	0.0331	0.0264
