bin_info	binsize	mean_coverage	normalized_coverage	baseline_mean	baseline_std	baseline_mad
chr1:11854476-11854476:rs1801131	1	248.6809	0.9857	0.9857	0.0990	0.0865
chr1:11856378-11856378:rs1801133	1	312.4444	1.3025	1.3025	0.1264	0.1050
chr1:17345371-17345458:NM_003000	88	96.0869	0.3588	0.3588	0.1202	0.0933
chr1:17349098-17349230:NM_003000	133	102.7343	0.4473	0.4473	0.0773	0.0445
chr1:17350463-17350574:NM_003000	112	113.1723	0.5010	0.5010	0.0773	0.0622
chr1:17354239-17354365:NM_003000	127	187.9056	0.7287	0.7287	0.1093	0.0935
chr1:17355090-17355236:NM_003000	147	245.3736	0.9782	0.9782	0.0757	0.0554
chr1:17359550-17359645:NM_003000	96	47.9526	0.2265	0.2265	0.0623	0.0571
chr1:17371251-17371388:NM_003000	138	130.8971	0.5044	0.5044	0.0953	0.0665
chr1:17380438-17380519:NM_003000	82	116.8967	0.4546	0.4546	0.1155	0.0859
chr1:20915701-20915701:rs2072671	1	272.0169	1.1373	1.1373	0.2376	0.1199
chr1:20931474-20931474:rs60369023	1	272.5200	1.0266	1.0266	0.0753	0.0605
chr1:45794973-45795114:NM_001128425	142	207.7920	0.8691	0.8691	0.0780	0.0587
chr1:45796183-45796234:NM_001128425	52	115.0352	0.5706	0.5706	0.0722	0.0468
chr1:45796849-45797011:NM_001128425	163	301.4117	1.1385	1.1385	0.0354	0.0247
chr1:45797087-45797233:NM_001128425	147	347.8177	1.3964	1.3964	0.1448	0.1153
chr1:45797328-45797526:NM_001128425	199	298.9381	1.1782	1.1782	0.0889	0.0584
chr1:45797690-45797763:NM_001128425	74	258.4747	0.9503	0.9503	0.0861	0.0640
chr1:45797833-45797987:NM_001128425	155	384.2956	1.5527	1.5527	0.1940	0.1575
chr1:45798058-45798165:NM_001128425	108	292.6870	1.1717	1.1717	0.0875	0.0651
chr1:45798241-45798364:NM_001128425	124	333.8489	1.1653	1.1653	0.0765	0.0620
chr1:45798430-45798511:NM_001128425	82	332.5148	1.3460	1.3460	0.1675	0.1291
chr1:45798585-45798636:NM_001128425	52	174.2464	0.7786	0.7786	0.0653	0.0494
chr1:45798764-45798847:NM_001128425	84	92.6933	0.4658	0.4658	0.0526	0.0354
chr1:45798952-45799001:NM_001128425	50	249.1708	0.9696	0.9696	0.0598	0.0527
chr1:45799080-45799280:NM_001128425	201	320.4592	1.3151	1.3151	0.1178	0.0971
chr1:45800058-45800188:NM_001128425	131	253.1647	0.9595	0.9595	0.0384	0.0255
chr1:45805886-45805931:NM_001128425	46	258.8032	1.0285	1.0285	0.1738	0.1329
chr1:97547947-97547947:rs67376798	1	172.8571	0.6432	0.6432	0.0622	0.0449
chr1:97915614-97915614:rs3918290	1	227.9500	0.9215	0.9215	0.1146	0.0971
chr1:97981343-97981343:rs55886062	1	93.1915	0.3834	0.3834	0.0543	0.0433
chr1:98039499-98039499:rs78060119	1	146.0351	0.5321	0.5321	0.1097	0.0887
chr1:98045449-98045449:rs75017182	1	228.7500	0.8587	0.8587	0.0598	0.0399
chr1:115251151-115251280:NM_002524	130	147.5826	0.5677	0.5677	0.0905	0.0687
chr1:115252185-115252354:NM_002524	170	199.4996	0.7562	0.7562	0.0819	0.0652
chr1:115256416-115256604:NM_002524	189	148.3327	0.5846	0.5846	0.0493	0.0410
chr1:115258666-115258786:NM_002524	121	107.2382	0.5310	0.5310	0.0600	0.0525
chr1:120053342-120053377:chr1:120053342-120053377	36	2.9903	0.0174	0.0174	0.0096	0.0088
chr1:156841411-156841552:NM_001007792	142	261.8633	1.0143	1.0143	0.0372	0.0317
chr1:156843421-156845463:NM_001007792	2043	329.4337	1.1156	1.1156	0.0398	0.0323
chr1:156845868-156846007:NM_001007792	140	298.3536	0.9868	0.9868	0.0832	0.0688
chr1:156846188-156846369:NM_001007792	182	267.8231	0.9561	0.9561	0.0428	0.0328
chr1:156848910-156849159:NM_001007792	250	326.3281	1.0810	1.0810	0.0398	0.0350
chr1:156849787-156849954:NM_001007792	168	183.0507	0.7426	0.7426	0.0480	0.0386
chr1:156851245-156851591:NM_001007792	347	303.1290	1.1175	1.1175	0.0463	0.0382
chr1:161284191-161284220:NM_003001	30	209.4071	0.8889	0.8889	0.4453	0.3478
chr1:161293399-161293465:NM_003001	67	203.9737	0.7777	0.7777	0.1037	0.0790
chr1:161298181-161298292:NM_003001	112	192.3484	0.7387	0.7387	0.0891	0.0615
chr1:161310379-161310450:NM_003001	72	239.6281	0.9855	0.9855	0.0943	0.0732
chr1:161326462-161326635:NM_003001	174	184.6464	0.8007	0.8007	0.0627	0.0435
chr1:161332093-161332105:chr1:161332093-161332105	13	119.7082	0.4453	0.4453	0.1536	0.1108
chr1:161332114-161332228:NM_003001	115	97.5042	0.4385	0.4385	0.0588	0.0443
chr1:162736823-162736832:chr1:162736823-162736832	10	11.4600	0.0730	0.0730	0.0347	0.0285
chr1:162741810-162742042:NM_006182	233	251.7865	1.0041	1.0041	0.0740	0.0504
chr1:162743255-162743391:NM_006182	137	116.0293	0.4281	0.4281	0.0786	0.0626
chr1:162745438-162745638:NM_006182	201	156.9731	0.5948	0.5948	0.1028	0.0964
chr1:162745922-162746165:NM_006182	244	227.2302	0.8356	0.8356	0.0781	0.0592
chr1:162748366-162748524:NM_006182	159	240.8700	0.9258	0.9258	0.1119	0.0647
chr1:162749898-162750216:NM_006182	319	177.3141	0.6713	0.6713	0.0673	0.0552
chr1:186650321-186650321:rs20417	1	252.9245	0.9871	0.9871	0.0776	0.0603
chr2:29430033-29430143:NM_004304	111	265.0602	0.9903	0.9903	0.0947	0.0720
chr2:29432648-29432749:NM_004304	102	153.0721	0.6121	0.6121	0.0908	0.0846
chr2:29436846-29436952:NM_004304	107	245.1113	0.8692	0.8692	0.0709	0.0615
chr2:29443568-29443706:NM_004304	139	285.7636	0.9614	0.9614	0.0787	0.0590
chr2:29445206-29445279:NM_004304	74	265.6328	0.8749	0.8749	0.0559	0.0486
chr2:29445379-29445478:NM_004304	100	217.9633	0.8090	0.8090	0.0700	0.0651
chr2:29446204-29448436:NM_004304	2233	302.4712	1.0315	1.0315	0.0191	0.0143
chr2:31247514-31247514:rs9679162	1	361.6364	1.4473	1.4473	0.1951	0.1424
chr2:31249427-31249427:rs12613732	1	184.6226	0.6902	0.6902	0.0828	0.0708
chr2:39536691-39536717:chr2:39536691-39536717	27	12.0304	0.0674	0.0674	0.0182	0.0138
chr2:47596640-47596725:NM_002354	86	112.8123	0.4457	0.4457	0.0494	0.0381
chr2:47600597-47600714:NM_002354	118	353.4513	1.4460	1.4460	0.1585	0.1214
chr2:47600942-47601192:NM_002354	251	252.0872	1.0364	1.0364	0.0612	0.0496
chr2:47602368-47602443:NM_002354	76	365.8216	1.5013	1.5013	0.1661	0.1403
chr2:47604148-47604221:NM_002354	74	294.8590	1.1348	1.1348	0.0884	0.0587
chr2:47606087-47606198:NM_002354	112	304.5584	1.2520	1.2520	0.1106	0.0925
chr2:47606903-47607113:NM_002354	211	318.0271	1.1904	1.1904	0.0471	0.0411
chr2:47612300-47612354:NM_002354	55	299.9959	1.1039	1.1039	0.0658	0.0475
chr2:47613706-47613757:NM_002354	52	255.9865	0.9971	0.9971	0.1015	0.0727
chr2:47630326-47630546:NM_000251	221	231.1729	0.9434	0.9434	0.0656	0.0512
chr2:47635525-47635699:chr2:47635525-47635536,NM_000251	175	278.8581	1.0814	1.0814	0.1795	0.0986
chr2:47637228-47637516:NM_000251	289	320.4661	1.2814	1.2814	0.0646	0.0463
chr2:47639548-47639704:NM_000251	157	324.8378	1.3017	1.3017	0.1184	0.0936
chr2:47641403-47641586:NM_000251,chr2:47641561-47641586	184	187.3084	0.7184	0.7184	0.0706	0.0401
chr2:47643430-47643573:NM_000251	144	301.4910	1.1530	1.1530	0.0460	0.0381
chr2:47656876-47657085:NM_000251	210	333.7082	1.3500	1.3500	0.1265	0.1117
chr2:47672682-47672801:NM_000251	120	296.2821	1.1919	1.1919	0.1297	0.1139
chr2:47690165-47690298:NM_000251	134	295.8913	1.0376	1.0376	0.0502	0.0422
chr2:47693792-47693952:NM_000251	161	331.4110	1.3477	1.3477	0.1219	0.0924
chr2:47698099-47698206:NM_000251	108	316.9858	1.0679	1.0679	0.0333	0.0244
chr2:47702159-47702414:NM_000251	256	290.1675	1.0805	1.0805	0.0518	0.0402
chr2:47703501-47703715:NM_000251	215	299.9664	1.1991	1.1991	0.0819	0.0723
chr2:47705406-47705663:NM_000251	258	316.5641	1.2023	1.2023	0.0532	0.0454
chr2:47707830-47708015:NM_000251	186	265.9920	0.9826	0.9826	0.0537	0.0371
chr2:47709913-47710093:NM_000251	181	277.2097	1.0048	1.0048	0.0622	0.0489
chr2:48010368-48010637:NM_000179	270	225.7147	0.9152	0.9152	0.0839	0.0682
chr2:48018061-48018267:NM_000179	207	250.6686	0.9978	0.9978	0.0898	0.0701
chr2:48023028-48023207:NM_000179	180	234.6768	0.9035	0.9035	0.0579	0.0450
chr2:48025745-48028299:NM_000179	2555	268.7601	1.0973	1.0973	0.0474	0.0382
chr2:48030554-48030829:NM_000179	276	147.7732	0.6785	0.6785	0.0591	0.0510
chr2:48032044-48032171:NM_000179	128	236.2801	0.9069	0.9069	0.0636	0.0464
chr2:48032742-48032851:chr2:48032742-48032753,NM_000179	110	245.5532	0.9913	0.9913	0.0616	0.0551
chr2:48033338-48033502:NM_000179	165	326.8529	1.2969	1.2969	0.1061	0.0843
chr2:48033586-48033795:NM_000179	210	285.9652	1.0562	1.0562	0.0451	0.0370
chr2:48033892-48033908:chr2:48033892-48033908	17	32.6026	0.1856	0.1856	0.0562	0.0394
chr2:48033913-48034004:NM_000179	92	228.3261	0.8398	0.8398	0.0504	0.0384
chr2:54395259-54395259:rs1872328	1	297.8246	1.1860	1.1860	0.1290	0.1143
chr2:95849363-95849384:chr2:95849363-95849384	22	49.0155	0.2402	0.2402	0.0618	0.0477
chr2:111883071-111883319:NM_138621	249	292.2227	1.0827	1.0827	0.0480	0.0392
chr2:111885972-111886220:NM_138621	249	154.8845	0.5707	0.5707	0.0765	0.0597
chr2:204731005-204731005:rs4553808	1	223.0000	0.8516	0.8516	0.1225	0.0753
chr2:208494234-208494234:rs2952768	1	206.1333	0.8289	0.8289	0.1728	0.1377
chr2:209110038-209110153:NM_005896	116	271.8328	1.1252	1.1252	0.1111	0.1002
chr2:209113088-209113389:NM_005896	302	292.1905	1.0426	1.0426	0.0318	0.0231
chr2:216212339-216212339:rs4673993	1	215.0638	0.8470	0.8470	0.0491	0.0312
chr2:225422602-225422622:chr2:225422602-225422622	21	3.9035	0.0280	0.0280	0.0199	0.0143
chr2:234668880-234668894:rs3064744	15	196.5652	0.7252	0.7252	0.0543	0.0421
chr2:234669144-234669144:rs4148323	1	292.2564	1.0347	1.0347	0.0398	0.0229
chr3:10076010-10076029:chr3:10076010-10076029	20	29.4181	0.1557	0.1557	0.0664	0.0517
chr3:14187449-14187449:rs2228001	1	209.2449	0.7760	0.7760	0.0713	0.0575
chr3:37035034-37035159:NM_000249	126	197.6759	0.7223	0.7223	0.0334	0.0252
chr3:37038105-37038205:NM_000249	101	279.2202	1.1867	1.1867	0.0953	0.0694
chr3:37042441-37042549:NM_000249	109	244.3573	0.8674	0.8674	0.0468	0.0369
chr3:37045887-37045970:NM_000249	84	273.8571	0.9978	0.9978	0.0525	0.0326
chr3:37048477-37048559:NM_000249	83	349.1353	1.5028	1.5028	0.1852	0.1431
chr3:37050300-37050401:NM_000249	102	208.5217	0.7725	0.7725	0.0954	0.0751
chr3:37053306-37053358:NM_000249	53	161.3888	0.5696	0.5696	0.1251	0.0984
chr3:37053497-37053595:NM_000249	99	250.9148	0.9586	0.9586	0.0553	0.0460
chr3:37055918-37056040:NM_000249	123	131.0444	0.4669	0.4669	0.1449	0.1136
chr3:37058992-37059095:NM_000249	104	196.6140	0.7831	0.7831	0.0610	0.0501
chr3:37061796-37061959:NM_000249	164	243.5830	0.9161	0.9161	0.0314	0.0291
chr3:37067105-37067503:chr3:37067105-37067124,NM_000249	399	292.4941	1.1216	1.1216	0.0783	0.0620
chr3:37070270-37070428:NM_000249	159	219.8061	0.7836	0.7836	0.0657	0.0593
chr3:37081672-37081790:NM_000249	119	281.4591	1.0069	1.0069	0.0599	0.0440
chr3:37083754-37083827:NM_000249	74	262.4491	1.0609	1.0609	0.1307	0.1115
chr3:37089005-37089179:NM_000249	175	348.4912	1.4207	1.4207	0.1585	0.1312
chr3:37090003-37090105:NM_000249	103	283.0181	1.1091	1.1091	0.0752	0.0581
chr3:37090390-37090513:NM_000249	124	236.6070	0.9077	0.9077	0.0448	0.0337
chr3:37091972-37092149:NM_000249	178	257.4132	0.9475	0.9475	0.0539	0.0426
chr3:41279440-41279440:rs4135385	1	256.2857	1.0131	1.0131	0.1038	0.0641
chr3:69988439-69988451:chr3:69988439-69988451	13	21.0360	0.1034	0.1034	0.0515	0.0290
chr3:124456742-124456742:rs1801019	1	337.7556	1.1718	1.1718	0.0691	0.0489
chr3:178916609-178916970:NM_006218	362	266.9843	1.0865	1.0865	0.0740	0.0664
chr3:178917473-178917692:NM_006218	220	276.2636	1.0635	1.0635	0.0837	0.0581
chr3:178919073-178919333:NM_006218	261	278.4038	1.0070	1.0070	0.0452	0.0344
chr3:178921327-178921582:NM_006218	256	253.4032	0.8692	0.8692	0.0691	0.0579
chr3:178922286-178922381:NM_006218	96	314.0282	1.2365	1.2365	0.1711	0.1440
chr3:178927378-178927493:NM_006218	116	281.8106	1.1950	1.1950	0.1602	0.1111
chr3:178927969-178928131:NM_006218	163	293.5568	1.1179	1.1179	0.0721	0.0498
chr3:178928214-178928358:NM_006218	145	239.6250	0.9559	0.9559	0.0297	0.0242
chr3:178935993-178936127:NM_006218	135	267.9192	1.1096	1.1096	0.1912	0.1354
chr3:178936979-178937070:NM_006218	92	218.2688	0.7945	0.7945	0.0637	0.0476
chr3:178937354-178937528:NM_006218	175	200.5404	0.8138	0.8138	0.0615	0.0427
chr3:178937732-178937845:NM_006218	114	130.3099	0.5235	0.5235	0.0468	0.0338
chr3:178938769-178938950:NM_006218	182	236.2564	0.8954	0.8954	0.0946	0.0639
chr3:178941864-178941980:NM_006218	117	200.4087	0.7903	0.7903	0.0561	0.0392
chr3:178942483-178942614:NM_006218	132	207.8966	0.7933	0.7933	0.0768	0.0580
chr3:178943745-178943833:NM_006218	89	178.8018	0.6653	0.6653	0.0746	0.0574
chr3:178947055-178947235:NM_006218	181	239.1181	0.8500	0.8500	0.0420	0.0321
chr3:178947787-178947914:NM_006218	128	270.0817	1.0457	1.0457	0.0490	0.0405
chr3:178948008-178948169:NM_006218	162	227.4684	0.8704	0.8704	0.0834	0.0664
chr3:178951877-178952157:NM_006218	281	216.8725	0.8138	0.8138	0.0542	0.0380
chr4:1795657-1795775:NM_000142	119	306.6978	1.2758	1.2758	0.3469	0.2966
chr4:1800976-1801255:NM_000142	280	348.4703	1.3478	1.3478	0.1333	0.1003
chr4:1801469-1801544:NM_000142	76	334.1200	1.1374	1.1374	0.0589	0.0469
chr4:1803089-1803268:NM_000142	180	278.4633	1.0983	1.0983	0.0679	0.0601
chr4:1803342-1803475:NM_000142	134	276.9507	1.0905	1.0905	0.1346	0.0949
chr4:1803557-1803757:NM_000142	201	311.0586	1.1934	1.1934	0.1093	0.0917
chr4:1805414-1805568:NM_000142	155	311.3628	1.2415	1.2415	0.1339	0.0921
chr4:1806052-1806252:NM_000142	201	286.4467	1.0383	1.0383	0.0398	0.0289
chr4:1806546-1806701:NM_000142	156	222.7998	0.8658	0.8658	0.0598	0.0441
chr4:1807077-1807208:NM_000142	132	316.3396	1.3308	1.3308	0.1583	0.1360
chr4:1807281-1807401:NM_000142	121	329.2579	1.3640	1.3640	0.1417	0.1175
chr4:1807472-1807672:NM_000142	201	401.3388	1.7340	1.7340	0.2891	0.2572
chr4:1807773-1807905:NM_000142	133	287.9721	1.0998	1.0998	0.0397	0.0360
chr4:1807979-1808059:NM_000142	81	95.2542	0.3989	0.3989	0.0446	0.0353
chr4:1808268-1808415:NM_000142	148	331.3380	1.1216	1.1216	0.0580	0.0416
chr4:1808551-1808994:NM_000142	444	276.4429	1.0809	1.0809	0.0750	0.0556
chr4:25665949-25667754:NM_00642	1806	192.6901	0.7413	0.7413	0.0382	0.0317
chr4:55141004-55141145:NM_006206	142	217.8701	0.8489	0.8489	0.0709	0.0636
